학교아이디,학교명,학교급,학교급CODE,지역,지역CODE,idx,SQA1,학년,SQA2,SQA3,SQA3R,SQA4,SQA5_1,SQA5_2,SQA5_3,SQA5_4,SQA5_5,SQA5_etc,SQA5_6,SQA5_7,SQA5_8,SQA5_8_etc,SQA6,SQB1,SQB2,SQB2_8_etc,SQB3,SQB4,SQB4_13_etc,SQB5,SQB6,A0,A1_1,A1_2,A1_3,A1_4,A1_5,A1_1_1,A1_1_2,A1_1_3,A1_1_4,A1_1_6,A2_1,A2_2,A2_3,A2_4,A2_5,A2_6,A2_7,A2_8,A2_9,A2_1_1,A2_1_2,A2_1_3,A2_1_4,A2_1_5,A2_1_6,A2_1_7,A2_1_8,A2_1_10,A3a_1,A3a_2,A3a_3,A3a_4,A3b_1,A3b_2,A3b_3,A3b_4,A3_1_1_1_1,A3_1_1_1_2,A3_1_1_2_1,A3_1_1_2_2,A3_1_1_3_1,A3_1_1_3_2,A3_1_1_4_1,A3_1_1_4_2,A3_1_2_1_1,A3_1_2_1_2,A3_1_2_2_1,A3_1_2_2_2,A3_1_2_3_1,A3_1_2_3_2,A3_1_2_4_1,A3_1_2_4_2,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_1a_1,A4_1a_2,A4_1a_3,A4_1a_4,A4_1a_5,A4_1a_6,A4_1b_1,A4_1b_2,A4_1b_3,A4_1b_4,A4_1b_5,A4_1b_6,A5_1_1,A5_1_2,A5_1_3,A5_1_4,A5_1_5,A5_1_6,A5_1_7,A5_1_8,A5_1_8_etc,A5_2_1,A5_2_2,A5_2_3,A5_2_4,A5_2_5,A5_2_6,A5_2_7,A5_2_8,A5_2_8_etc,A5_3_1,A5_3_2,A5_3_3,A5_3_4,A5_3_5,A5_3_6,A5_3_7,A5_3_7_etc,A5_4_1,A5_4_2,A5_4_3,A5_4_4,A5_4_5,A5_4_6,A5_4_7,A5_4_8,A5_4_8_etc,A5_5_1,A5_5_2,A5_5_3,A5_5_4,A5_5_5,A5_5_6,A5_5_7,A5_5_8,A5_5_9,A5_5_10,A5_5_11,A5_5_11_etc,A5_6_1,A5_6_2,A5_6_3,A5_6_4,A5_6_5,A5_6_6,A5_6_7,A5_6_7_etc,B1,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_9_etc,B3_1,B3_2,B3_3,B3_4,B3_5,B3_5_etc,B4,B5,B5_1,B5_1_7_etc,B6_1,B6_2,B6_3,B6_4,B6_5,B6_6,B6_7,B6_8,B6_9,B6_9_etc,C1,C2,C3,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C4_7,C4_8,C4_9,C4_9_etc,C5_1,C5_2,C5_3,C5_4,C5_5,C5_6,C5_7,C5_8,C5_9,C5_10,C5_10_etc,C6_1,C6_2,C6_3,C6_4,C6_5,C6_6,C6_7,C6_8,C6_9,C6_9_etc,D1_1,D1_2,D1_1a_1_1,D1_1a_1_2,D1_1a_2_1,D1_1a_2_2,D2_1,D2_2,D3,D3_1,D4,D5,D5_4_etc,D6,D7_1,D7_2,D7_3,D7_4,D7_5,D7_6,D7_7,D7_8,D7_9,D7_9_etc,D8_1,D8_2,D8_3,D8_4,D8_5,D8_6,D8_5_etc,D8_1_1,D8_1_2,D8_2_1_1,D8_2_1_2,D8_2_2_1,D8_2_2_2,E1,E1_1,E1_2_1,E1_2_2,E1_2_3,E1_2_4,E1_2_5,E1_2_6,E1_2_7,E1_2_7_etc,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F2_6_etc,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F3_8,F3_9,F3_9_etc,F4_1_1,F4_1_2,F4_2_1,F4_2_2,F5,F6_1,F6_2,F6_3,F6_4,F6_5,F6_6,F6_7,F6_8,F6_9,F6_9_etc,F7_1,F7_2,F7_3,F7_4,F7_5,F7_6,F7_7,F7_8,F7_9,F7_9_etc,G1_1,G1_2,G1_3,G1_4,G1_5,G1_6,G1_7,G1_8,G1_9,G1_8_etc,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G2_7,G2_8,G2_9,G2_8_etc,G3_1,G3_2,G3_3,G3_4,G3_5,G3_6,G3_7,G3_8,G3_9,G3_10,G3_10_etc,H1_1,H1_2,H1_3,H1_4,H1_5,H1_6,H1_7,H1_8,H2,H3_1,H3_2,H3_3,H3_4,H3_5,H3_6,H3_7,H3_8,H3_9,H3_10,H3_11,H3_12,H4_1,H4_2,H4_3,H4_4,H4_5,H5_1,H5_2,H5_3,H5_4,H5_5,H5_6,H5_7,H6_1,H6_2,H6_3,H6_4,H7_1,H7_2,H7_3,H7_1_1,H7_1_2,H7_1_3,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_5_etc,I2,I2_1,I3,I3_1_1,I3_1_2,I3_1_3,AG1,설계가중치,WT
12032,율목어린이집,어린이집,1,경기,9,2726,2,만6세,6,1, ,3,1, , , , , , , , , ,4,1,1, ,26,6, ,3,10,3, , , , ,5, , , , ,6,1,2, , ,5,6, , , ,1,2, , ,5, , , , ,6, ,6,6,3, ,3,3,4, , , ,1, ,2, ,4, , , ,4, ,5, , , ,3,4,5, , , , ,5,5,5, , , ,3,3,3, , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,7, ,2, , , ,6,7, , , ,1, , ,4, , ,2,4,3, , , , , , ,6, , , , ,6,2,1, ,2, , ,5,6, , , , , , , ,4, , , , , , , ,1, , ,4, , , , , , ,5,3,2, ,5, , ,2,1,1,2,1, , ,1, , ,4, , , , , , , , ,3, , , , ,5,3,2, ,5, ,2, , , , , , , , , ,6,1, , , , , , , ,2, , ,5,6, , , , ,2, ,5, ,1,1, , ,4, , , , , , , , , , , , , , ,9,유튜브만시청, , ,3, , , , , , , , , ,3, , , , , , , , , , , , , , , , , , ,4,3,2,3,3,3,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,3,4,3,3,2,3,3,3,4,3,4,3,1,2,2, , , , ,3, , , , ,1,1,1, , ,3,2,2904,2563.923533
12032,율목어린이집,어린이집,1,경기,9,2729,2,만6세,6,1, ,4,1,2, , , , ,6, , , ,5,1,1, ,35,8, ,4,4,3, , ,3, , , , , , ,6,1,2, ,4,5, , , , ,1,2, , ,5, , , , ,4, ,2,6,2, ,2,3,3, , , , ,30,5, ,1, , , , ,30,3, ,1, , ,4, , , ,4, , ,6, , ,2, , ,2, , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , ,3, , , , , , , , , ,3, , , ,1,3,3, , , , , , , ,7,8, , ,6,2,2, , ,3, , , , , , , , , , ,4, ,6, , , , , ,1, , , , , , , , , ,6,3,1, ,1, , ,2,1,3,2,1, , , , , ,4, , , , , , ,1, ,3, , , , ,5,2, ,30, ,30,1,1, , , , , , ,7,안 올림,7, , , , , ,6,사촌 폰, , ,3, , , , , , , , ,20, ,20,1, , , ,4, , , , , , , , , , , , , ,8, , , , ,3,4, , , , , , , , ,3,4, , , , , , , , , , , , , , , , , ,5,5,5,4,5,5,5,5,3,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,4,2,2,2,3,4,3,3,4,4,4,3,3,2,4,4, ,1, ,3, , , , ,1,1,1,1,2, ,1,2904,2563.923533
12247,라인어린이집,어린이집,1,경기,9,5063,2,만5세,6,1, ,2,1,2, , , , ,6, , , ,4,1,1, ,37,7, ,4,6,4, , , , ,5, , , , ,6,1, ,3,4,5, , , , ,1, ,3, ,5, , , , ,2, ,1,1,1, ,2,3, ,30, , , , , , , , , , , ,30,1, , ,2, ,4, , , , ,1, ,1, , , ,2, ,3, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,3, , , , , , , ,1, , , , , ,2,1, , , , , , ,5, , , , , ,4,2,2, , , ,4, , , , , , , , , , ,5,6, , , , , , , , ,4,5, , , , , ,1,3, , ,1, , ,2,1,3,2,1, , ,1, ,3,4,5, ,7,8, , , , , , , ,6, , , , , , , ,2, , , , , , , , , ,6, , , , , ,6,게임기, ,2,3, , , , , , , , ,10, ,10,2, , , ,4,5, , , , , , , , , , , , ,8, , , , ,3,4, , , , , , , , ,3,4, ,6,7, , , , , , , , , , , , , , ,4,5,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,5,3,4,3,4,3,4,4,4,4,2,2,2, , , ,1, , ,4, , , ,1,1,1,1, , ,1,4791.6,4230.47383
12247,라인어린이집,어린이집,1,경기,9,4644,2,만5세,6,1, ,3,1,2, , , , ,6, , , ,5,1,1, ,35,10, ,4,5,3, , , , ,5, , , , ,6,1,2, ,4,5, , , , ,1,2, , ,5, , , , ,6, ,4,4,3, ,3,3,4,0, , ,1,0,1,0,8,0, , ,2,0,2,0, , , ,4, , , , , , ,6, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2, , , , , , , , , , ,3, , , ,2,2, , , , ,3, , , , , , , ,2,2,2, , , , , , ,7, , , , , , ,4, , , , , , , , , ,3, , , , , , , ,6,3,2,0,4,0, ,2,1,3,2,1, , , , ,3, , , , , , , ,1, , , , , , ,6,3,1,0,1,0,2, , , , , , , , , ,7,1, ,3, , , , , , , , , , , , ,9,휴식 시간에,0,30,0,30,1, , ,3, , , , , , , , , , , , , , , ,9,코코비, , ,3, , , , , , , , , ,3, , , , , , , , , , , , , , , , , , ,4,2,3,4,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,3,3,4,4,4,3,3,3,5,5,5,1, , ,4, , , ,1,1,1,1, , ,1,4791.6,4230.47383
21173,봉암어린이집,어린이집,1,경기,9,5602,2,만5세,6,1, ,1,1,2, , , , , , , , ,3,1,1, ,47,8, ,3,6,4, , , , ,5, , , , ,6,1,2,3,4,5, , , , , ,2,3, ,5, , , , ,6, , ,2,3, , ,1,2,30, , , , ,1, ,4, , , , , , , , , , ,4, , , , , , ,5, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,3, , , , , , , , , ,3, , , ,1,2, , , , , , , , , ,8, , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,2, ,4, , ,2,2, ,2,1, , , ,2, , , , , ,8, , ,1,2, , , , , ,5,2, ,20, ,20,2, , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, ,만들기, , , , , , , ,8, ,만들기, , , , , , , , , , , ,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1, , , , ,2,2,2,1,1,2,2,2,2,2,2,1,2,2,3,3,1,1,1, , , , , , ,4, , , ,2, ,2, , , ,1,1742.4,1538.35412
33648,망포유치원,유치원,2,경기,9,297,2,만6세,6,2, ,1,1,2,3,4, , , , , , ,5,1,1, ,33,6, ,4,4,4, , , , ,5, , , , ,6,1, ,3,4, , ,7, , , , ,3, , , , , , ,3, , , ,3, , , ,3, , , , , , , ,4, , , , , , , , , , , ,5, , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,5, , ,3, , , , , , , , , , ,4, , ,2,1, , , , , , , , ,7, , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , ,2, , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,8, ,한글프로그램, ,2,3, , , , , , , , ,5,4,4,4,3,4,3,3,4,2,1,1,1,1,1,1,1, , , , ,1,1,2,1,1,5,5,5,5,5,5,4,4,4,5,5,2,3,2, ,4, , , ,3, , , , ,2, ,2, , , , ,2796.428571,2468.949388
33648,망포유치원,유치원,2,경기,9,1932,2,만6세,6,2, ,2,1,2, , , , ,6, , , ,4,1,1, ,38,9, ,4,9,3, , , , ,5, , , , ,6,1,2,3,4,5,6, , , ,1,2, , ,5,6, , , ,2, ,3,4,2, ,2,2, ,30, , , ,10, ,30, ,10, , , ,10, ,20, , , ,4, , , , , , ,4, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,3, , , , , , , ,1, ,3, , , ,2,1, , , ,2,3, , , , , , , ,2,2,2, , ,3, , , , , , , ,1,2, , , , , , , , , , ,2, , , , , , , , ,4,2, ,30, ,20,1,2,1,10,2,2, ,2, ,2, , , , , , , , ,1, , , , , , ,2,1, ,5, , ,2, , , , , , , , , ,8, , , , ,5, , , , , , , , , , ,9,스트레스 해소용, ,0,1, ,1, , ,3, , , , , , , , , , , , ,6, , , , , , ,3, , , , , , , , , ,3, , ,6,7, , , , , , , , , , , , , , ,3,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,4,3,3,4,4,1,4,5,5,4,2,3,2, ,3, ,1,2,3, , , , ,2, ,1,1, , ,1,2796.428571,2468.949388
33648,망포유치원,유치원,2,경기,9,1940,2,만6세,6,2, ,1,1,2, , , , , , , , ,3,1,1, ,45,10, ,4,5,4, ,2, ,4, , , , ,4, ,1,2, ,4,5,6,7, , , , , , ,5, ,7, , , , , ,6, , , ,1, , , , , , ,0,30, , , , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , ,1,3, , , , ,5, , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , ,5, , , , , , , , , , , , , , , , ,5,5,5,5,5,5,3,3,2,1,1,1,1, , , , , , , , ,1,1,1,1,1,4,1,1,4,4,4,4,4,4,4,5,2,2,2, , , , ,2, , , , , ,2, ,2, , , ,1,2796.428571,2468.949388
33660,광명북초등학교병설유치원,유치원,2,경기,9,3426,2,만5세,6,2, ,2,1,2, , , , , , , , ,3,1,1, ,36,8, ,4,6,3, , , , ,5, , , , ,6,1,2, ,4, , , , , ,1,2, , , , , , , ,4, ,3, ,2, ,3, , ,30, , ,1, , , ,1,0, , ,1, , , ,1, ,3, , , , ,3, ,4, , , ,2, ,2, , , ,1,2, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, ,2, , ,5, , , , , ,1, , , , , ,2,3,1, , ,2,3, , , , , , , ,7,2,2, , ,3, ,5, , , , , , ,2, , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,2,2, ,30, ,30,2, , , , , , , , , ,7, ,2, , , , , , , , ,4, , , , , , , ,30, ,30,2, , , , ,5, , , , , , , , ,4, , , , , , , , ,3, , , , , , , , , , ,4, , , , , , , , , , , , , , , , , ,5,5,5,5,4,5,4,5,3,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,3,4,3,4,3,3,3,3,4,4,3,2,2,2, , , , ,2, , , , , ,2, ,2, , , ,2,497.1428571,438.9243357
33661,구지초등학교병설유치원,유치원,2,경기,9,625,2,만6세,6,2, ,3,1,2, , , , ,6, , , ,4,1,1, ,40,10, ,4,6,4, , , , ,5, ,2, ,4, ,1,2, ,4,5,6,7, , , ,2, , ,5, , , , ,6, , ,1,3, , ,2, ,30, , , , , , ,2, , , , , ,1, , , , ,4,5, , , , , ,1,2, , , , ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,3, , ,3, , , , , , , ,1, , , , , ,2,1, , , , ,3, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , ,1, , ,2,2, ,2,2, ,2,1, ,3, , , , , , , , , , , , ,6, , , , , , , ,2, , , , , , , , , ,8, , , , ,5, , , , , , , , , , ,9,기간안에 게임을 하지 않음, ,0, ,30,2,1, ,3, , , , , , , , , , , , ,6, , , , ,1,2,3, , , , , , , , , , ,4, , , , , , ,1, , , , ,6, , , , , ,1,2,2,3,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,5,4,4,4,5,5,5,5,3,3,2,5,5, , , , , , ,6, ,2, ,1,1, , , ,807.8571429,713.2520455
33662,샘재유치원,유치원,2,경기,9,2128,2,만6세,6,2, ,3,1,2, , , , ,6, , , ,4,1,1, ,38,6, ,4,8,4, , , , ,5,1, , , , ,1,2, ,4,5,6,7, , ,1, , , , , ,7, , , , ,4, , , ,2, , , , , ,1,0, , , , , , ,2,0, , , , , ,4, , , , , , ,4, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,3, , ,3, , , , ,8, , , ,2, ,4, , ,7, , , , , , ,3, ,5, , , , , ,4,2,1,0,2,0, ,2,2, ,2,1, , , , ,3, ,5,6, , , , , , , , , ,6, , , , , , , ,1,2, , , , , , ,7,촬영만 하고 업로드하지않음,8, , ,3, ,5, , , , ,3, , , , , , , ,0,20,0,30,1, , ,3, , , , , , , , , , , , , , ,8, , , , ,3,4, , , , , , , , , ,4, , , , , , , , , , , , , , , , , ,4,4,4,4,3,3,4,4,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,4,3,4,4,3,3,3,4,4,5,5,2,2,2, , , ,1, , , , , , ,1,1,1,1, , ,1,3029.464286,2674.69517
33663,단가람유치원,유치원,2,경기,9,264,2,만5세,6,2, ,1,1,2, , , , , , , , ,3,1,1, ,36,6, ,4,6,4, , , , ,5, , , , ,6,1,2, ,4,5,6,7, , , , ,3, ,5, , , , ,1, , ,2,2, , ,2, , , , , , , ,10, ,10, , , , , ,10, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,9,주말 자유시간,1, , , , , ,2,1, , , ,2,3, ,5, , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , ,1,3, , , ,4, , , , ,8, , , , ,5, , , , , , , , , , ,9,하지 않음,0,0,0,1,2, , ,3, ,5, , , ,9,가족과 함께 여가 시간을 보내기 위해, , , , , , , ,8, , , ,2, , , , , , , , , , , , , , , ,8, ,영어 학습 영상, ,2, , , , , , , , , ,3,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,2,4,3,3,3,3,3,4,4,5,1,2, ,4, , , ,1,2,1,1, , , ,2734.285714,2414.083846
33665,포일초등학교병설유치원,유치원,2,경기,9,4289,2,만6세,6,2, ,1,1,2, , , , , , , , ,3,1,1, ,44,9, ,4,4,3, , , , ,5, , , , ,6,1,2, ,4, , ,7, , ,1,2, ,4, , , , , ,6,4,4, ,3,2,3, ,3,0,0,30,1,0, , ,4,0,1,0,1,0, , , , , ,4, , , , , , ,5, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,2,3, ,5, ,7,8, , ,1,2,3, , , ,2,2, , , , ,3, , ,6,7,8, , ,3,2,3, , , , , , ,7, , , , , , ,4, ,6, , , , , , , ,3, , ,6, ,8, , ,4,3,1,0,2,0,1,2,2, ,2,1, , , , ,3, , ,6,7,8, , , , , , , ,6, , , , , , , ,2, , , , , , , , , ,5, , ,3, , , , , , , , , , ,7, , , ,0,30,0,30,1, , ,3, , , ,7, , , , , , , , , , , ,9,쥬니버,1,2,3, ,5, , , , , , , ,3, , ,6, , , , , ,2,3,4,5,6, , , , , ,4,4,4,4,4,4,2,4,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,4,4,2,2,2,2,2,3,4,4,3,2,1,1, , , , , , ,4, , , ,2, ,2, , , ,1,248.5714286,219.4621678
33671,한누리유치원,유치원,2,경기,9,4531,2,만5세,6,2, ,1,1,2, , , , , , , , ,3,1,1, ,39,10, ,4,6,4, , , , ,5, , , , ,6,1,2, ,4,5,6, , , ,1,2, ,4,5,6, , , ,6,6,6,3,3,1,3,1,2, ,1, ,5, ,1, ,3, , , ,3, , , , , , ,4,5, , , , , ,1,1, , , , ,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , ,8, , ,3, , , , , , , , ,2, , , , ,2,1, , ,1, , , ,5, , , , , ,8,2,2, , , , , ,6, , , , , , , ,4, , , , , , , , ,2,3, , , , , , , ,3,3, ,10, ,30, ,2,2, ,1,2, ,2, ,2,3, ,5, , , , , , , , , , ,6, , , , , , , ,2, , , , , , , , , ,8, , , , ,5, , , , ,3, , , , , , , , ,10,2, ,2, , ,3, ,5, , , , , , , , , , ,6, , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,4,5,2,3,3, ,5,5, , , ,4, , , ,2, ,2, , , ,1,2221.607143,1961.443125
33682,평일초등학교병설유치원,유치원,2,경기,9,3428,2,만6세,6,2, ,3,1,2, , , , ,6, , , ,4,1,1, ,44,8, ,3,3,4, , , , ,5, , , , ,6,1,2, ,4,5,6, , , ,1,2, , ,5,6, , , ,6, ,6,3,3, ,3,1,1,0, , ,1,0, ,30,1,0, , ,1,0, , , , , ,4, , , , , , ,6, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,3, ,5, ,7, , , , , ,3, , , ,2,1, , , , , , ,5, , , , , ,5,2,2, , ,3, , , ,7, , , , ,2,3,4, ,6, , , , , , , , , ,5, , , , , ,6,3, ,30, ,30, ,2,1,4,2,1, , , , , , ,5, , , , , ,1, , , , , , ,6,3, ,30, ,30,2, , , , , , , , , ,7, , ,3, , , , , , ,3, , , ,7, , , , ,30, ,30,2, , , , ,5, , , , , ,1, , , , , , , , , , , ,3, , , , , , , , , ,3, , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5, , , ,4, , , ,1,1,1, , ,3,2,559.2857143,493.7898776
33704,광명서초등학교병설유치원,유치원,2,경기,9,5269,2,만5세,6,2, ,3,1,2, , , , ,6, , , ,4,1,2, ,40,3, ,5,6,3, , , , ,5, , , , ,6,1,2, ,4,5, ,7, , ,1,2, ,4,5, ,7, , ,2,2,2,2,3,2,2,2,0,30,1,0,1,0,1,0,2,0,1,0,1,0,1,0, , , , ,5, , , , , , ,2, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , ,9, , , , , , , , , , , ,6, , , , ,5,6, , , , ,1, , ,4, , ,2,3,3, , ,2,3,4,5, , ,8, , ,7,2,3, , ,3, ,5,6, , , , , , , , ,5,6,7, , , , , , ,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , ,2, , , , , , , , , ,7, , ,3, , , , , , ,3, , , , , , , ,1, ,1, ,1, , ,3,4,5, , , , , , , , , , , , ,8, , , ,2,3,4,5, , , , , , , ,3, ,5, , , , , , , , , , ,6,7, , , , ,4,3,4,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,3,2,2,3,3,3,2,4,4,2,2,2,2, , , ,1,2,3, , , , ,2, ,2, , , ,1,605.8928571,534.9390341
33987,송화초등학교병설유치원,유치원,2,경기,9,1242,2,만6세,6,2, ,3,1,2, , , , ,6, , , ,4,1,1, ,40,10, ,5,3,4, , , , ,5,1, , , , ,1,2, ,4, ,6, , , ,1,2, , , ,6, , , ,6, ,2, ,2, ,1, , ,30, , , ,1, , , ,30, , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, , , , , , , , , ,2, , , , ,2,1, , , , , , ,5, , , , , ,5,2,3, , , , , , , , ,9,보고 싶은 것이 있을때, , , , , , , , ,9, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , ,2, , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , ,5,5,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2, , , , ,1,1,1,1,1,5,4,4,4,5,5,5,4,4,4,5,2,1,1, , , , , , , , ,6, ,2, ,2, , , ,1,419.4642857,370.3424082
34237,승지초등학교병설유치원,유치원,2,경기,9,1546,2,만5세,6,2, ,3,1,2, , , , ,6, , , ,4,1,1, ,44,10, ,4,11,4, , , , ,5, , , , ,6,1,2, ,4, ,6, , , ,1,2, , , ,6, , , ,4, ,3, ,3, ,3, ,1, , , , ,10, , ,5, , , , ,30, , ,1, , ,4, , , ,4, , ,4, , ,3, , ,3, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, ,3, , , , , , , ,1,2, , , , ,2,2, , , , ,3, ,5, , , , , ,8,2,3, , ,3, , , , , , , , , , ,4, , , , , , , , ,2, , , , , , , , ,4,3, ,30,1, , ,2,2, ,2,1, , , ,2, , , , , , , , ,1, ,3, , , , ,3,2, ,5, ,20,2, , , , , , , , , ,8, , , , ,5, , , , , ,4, , , , , , , , ,1, ,1, , ,3, , , , , , , , , , , , , , , ,9,닌텐도, , ,3, , , , , , , , , , , , ,6, , , , , , , , , , , , , , , ,4,4,5,5,4,4,4,4,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,4,5,5,4,3,4,4,5,3,1,2,4, , , , ,3, ,5, ,인스타그램,1,1,1,1, , ,1,419.4642857,370.3424082
